output_prefix	name	motif_id	cluster	total_tfbs	oRG_mean_score	oRG_bound	vRG_mean_score	vRG_bound	oRG_vRG_change	oRG_vRG_pvalue	oRG_vRG_highlighted
NFYC_HUMAN.H11MO.0.A_NFYC_HUMAN.H11MO.0.A	NFYC_HUMAN.H11MO.0.A	NFYC_HUMAN.H11MO.0.A	C_NFYC_HUMAN.H11MO.0.A	25491	0.38276	7888	0.39327	7924	-0.06183	1.29988E-99	False
NKX21_HUMAN.H11MO.0.A_NKX21_HUMAN.H11MO.0.A	NKX21_HUMAN.H11MO.0.A	NKX21_HUMAN.H11MO.0.A	C_NKX21_HUMAN.H11MO.0.A	44399	0.14348	5754	0.14499	5790	-0.01456	9.95557E-49	False
NKX25_HUMAN.H11MO.0.B_NKX25_HUMAN.H11MO.0.B	NKX25_HUMAN.H11MO.0.B	NKX25_HUMAN.H11MO.0.B	C_NKX25_HUMAN.H11MO.0.B	73074	0.17391	12303	0.17922	12678	-0.06262	2.39607E-122	False
NKX28_HUMAN.H11MO.0.C_NKX28_HUMAN.H11MO.0.C	NKX28_HUMAN.H11MO.0.C	NKX28_HUMAN.H11MO.0.C	C_NKX28_HUMAN.H11MO.0.C	28590	0.12278	2978	0.12163	2952	0.02384	2.35577E-53	False
NKX31_HUMAN.H11MO.0.C_NKX31_HUMAN.H11MO.0.C	NKX31_HUMAN.H11MO.0.C	NKX31_HUMAN.H11MO.0.C	C_NKX31_HUMAN.H11MO.0.C	37293	0.11733	3613	0.11398	3422	0.06351	2.63202E-111	True
NKX32_HUMAN.H11MO.0.C_NKX32_HUMAN.H11MO.0.C	NKX32_HUMAN.H11MO.0.C	NKX32_HUMAN.H11MO.0.C	C_NKX32_HUMAN.H11MO.0.C	27032	0.10894	2301	0.10544	2175	0.07355	3.85562E-108	True
NKX61_HUMAN.H11MO.0.B_NKX61_HUMAN.H11MO.0.B	NKX61_HUMAN.H11MO.0.B	NKX61_HUMAN.H11MO.0.B	C_NKX61_HUMAN.H11MO.0.B	47457	0.09885	3523	0.09431	3227	0.07941	5.30437E-127	True
NOBOX_HUMAN.H11MO.0.C_NOBOX_HUMAN.H11MO.0.C	NOBOX_HUMAN.H11MO.0.C	NOBOX_HUMAN.H11MO.0.C	C_NOBOX_HUMAN.H11MO.0.C	29581	0.14502	3925	0.13597	3629	0.12967	9.28868E-134	True
NR1D1_HUMAN.H11MO.0.B_NR1D1_HUMAN.H11MO.0.B	NR1D1_HUMAN.H11MO.0.B	NR1D1_HUMAN.H11MO.0.B	C_NR1D1_HUMAN.H11MO.0.B	77377	0.14875	10806	0.15141	10995	-0.03384	6.01980E-95	False
NR1H3_HUMAN.H11MO.0.B_NR1H3_HUMAN.H11MO.0.B	NR1H3_HUMAN.H11MO.0.B	NR1H3_HUMAN.H11MO.0.B	C_NR1H3_HUMAN.H11MO.0.B	39879	0.14272	5331	0.1427	5262	0.00437	4.54618E-11	False
NR1H4_HUMAN.H11MO.0.B_NR1H4_HUMAN.H11MO.0.B	NR1H4_HUMAN.H11MO.0.B	NR1H4_HUMAN.H11MO.0.B	C_NR1H4_HUMAN.H11MO.0.B	80846	0.24555	21745	0.25104	22242	-0.05236	5.40491E-118	False
NR1I2_HUMAN.H11MO.0.C_NR1I2_HUMAN.H11MO.0.C	NR1I2_HUMAN.H11MO.0.C	NR1I2_HUMAN.H11MO.0.C	C_NR1I2_HUMAN.H11MO.0.C	33034	0.12629	3538	0.12475	3468	0.0309	1.22028E-74	False
NR1I3_HUMAN.H11MO.0.C_NR1I3_HUMAN.H11MO.0.C	NR1I3_HUMAN.H11MO.0.C	NR1I3_HUMAN.H11MO.0.C	C_NR1I3_HUMAN.H11MO.0.C	33024	0.13132	3795	0.13166	3780	0.01008	4.36844E-34	False
NR2C1_HUMAN.H11MO.0.C_NR2C1_HUMAN.H11MO.0.C	NR2C1_HUMAN.H11MO.0.C	NR2C1_HUMAN.H11MO.0.C	C_NR2C1_HUMAN.H11MO.0.C	30007	0.13283	3509	0.13199	3399	0.02469	4.94491E-63	False
NR2C2_HUMAN.H11MO.0.B_NR2C2_HUMAN.H11MO.0.B	NR2C2_HUMAN.H11MO.0.B	NR2C2_HUMAN.H11MO.0.B	C_NR2C2_HUMAN.H11MO.0.B	32333	0.20355	6724	0.20734	6830	-0.03851	4.14146E-84	False
NR2E3_HUMAN.H11MO.0.C_NR2E3_HUMAN.H11MO.0.C	NR2E3_HUMAN.H11MO.0.C	NR2E3_HUMAN.H11MO.0.C	C_NR2E3_HUMAN.H11MO.0.C	51300	0.09725	3738	0.09579	3576	0.02863	5.81681E-84	False
NR4A1_HUMAN.H11MO.0.A_NR4A1_HUMAN.H11MO.0.A	NR4A1_HUMAN.H11MO.0.A	NR4A1_HUMAN.H11MO.0.A	C_NR4A2_HUMAN.H11MO.0.C	46823	0.11342	4316	0.1123	4174	0.01878	2.43060E-64	False
NR4A2_HUMAN.H11MO.0.C_NR4A2_HUMAN.H11MO.0.C	NR4A2_HUMAN.H11MO.0.C	NR4A2_HUMAN.H11MO.0.C	C_NR4A2_HUMAN.H11MO.0.C	33664	0.11816	3291	0.11735	3218	0.01829	8.62986E-54	False
NR5A2_HUMAN.H11MO.0.B_NR5A2_HUMAN.H11MO.0.B	NR5A2_HUMAN.H11MO.0.B	NR5A2_HUMAN.H11MO.0.B	C_STF1_HUMAN.H11MO.0.B	38928	0.13754	4881	0.13879	4812	-0.01705	6.14258E-60	False
NR6A1_HUMAN.H11MO.0.B_NR6A1_HUMAN.H11MO.0.B	NR6A1_HUMAN.H11MO.0.B	NR6A1_HUMAN.H11MO.0.B	C_NR6A1_HUMAN.H11MO.0.B	30474	0.11093	2763	0.10859	2618	0.0478	1.55486E-89	False
NRF1_HUMAN.H11MO.0.A_NRF1_HUMAN.H11MO.0.A	NRF1_HUMAN.H11MO.0.A	NRF1_HUMAN.H11MO.0.A	C_NRF1_HUMAN.H11MO.0.A	38070	0.40603	16370	0.41719	16742	-0.0794	8.42301E-119	False
OLIG2_HUMAN.H11MO.0.B_OLIG2_HUMAN.H11MO.0.B	OLIG2_HUMAN.H11MO.0.B	OLIG2_HUMAN.H11MO.0.B	C_OLIG2_HUMAN.H11MO.0.B	81637	0.14251	11123	0.15033	11754	-0.13607	5.68396E-162	False
OSR2_HUMAN.H11MO.0.C_OSR2_HUMAN.H11MO.0.C	OSR2_HUMAN.H11MO.0.C	OSR2_HUMAN.H11MO.0.C	C_OSR2_HUMAN.H11MO.0.C	91491	0.19004	18536	0.19452	18882	-0.0478	1.54590E-112	False
OTX2_HUMAN.H11MO.0.A_OTX2_HUMAN.H11MO.0.A	OTX2_HUMAN.H11MO.0.A	OTX2_HUMAN.H11MO.0.A	C_CRX_HUMAN.H11MO.0.B	26571	0.12858	2958	0.12797	2892	0.01695	5.47609E-54	False
OVOL1_HUMAN.H11MO.0.C_OVOL1_HUMAN.H11MO.0.C	OVOL1_HUMAN.H11MO.0.C	OVOL1_HUMAN.H11MO.0.C	C_OVOL1_HUMAN.H11MO.0.C	18101	0.12457	1942	0.12202	1863	0.05156	7.44195E-89	False
OZF_HUMAN.H11MO.0.C_OZF_HUMAN.H11MO.0.C	OZF_HUMAN.H11MO.0.C	OZF_HUMAN.H11MO.0.C	C_OZF_HUMAN.H11MO.0.C	38529	0.1037	3174	0.10056	2940	0.05474	1.31460E-101	False
P53_HUMAN.H11MO.0.A_P53_HUMAN.H11MO.0.A	P53_HUMAN.H11MO.0.A	P53_HUMAN.H11MO.0.A	C_P63_HUMAN.H11MO.0.A	30194	0.15081	4217	0.15296	4210	-0.02736	1.66144E-71	False
P63_HUMAN.H11MO.0.A_P63_HUMAN.H11MO.0.A	P63_HUMAN.H11MO.0.A	P63_HUMAN.H11MO.0.A	C_P63_HUMAN.H11MO.0.A	31994	0.18393	5758	0.18723	5786	-0.0364	1.60442E-80	False
P73_HUMAN.H11MO.0.A_P73_HUMAN.H11MO.0.A	P73_HUMAN.H11MO.0.A	P73_HUMAN.H11MO.0.A	C_P63_HUMAN.H11MO.0.A	35449	0.16212	5490	0.16456	5470	-0.02944	2.68652E-73	False
PATZ1_HUMAN.H11MO.0.C_PATZ1_HUMAN.H11MO.0.C	PATZ1_HUMAN.H11MO.0.C	PATZ1_HUMAN.H11MO.0.C	C_MAZ_HUMAN.H11MO.0.A	273406	0.25839	76394	0.2667	78737	-0.08559	2.90182E-166	True
PAX5_HUMAN.H11MO.0.A_PAX5_HUMAN.H11MO.0.A	PAX5_HUMAN.H11MO.0.A	PAX5_HUMAN.H11MO.0.A	C_PAX5_HUMAN.H11MO.0.A	72171	0.24224	18707	0.24796	19088	-0.04138	2.45938E-101	False
PAX6_HUMAN.H11MO.0.C_PAX6_HUMAN.H11MO.0.C	PAX6_HUMAN.H11MO.0.C	PAX6_HUMAN.H11MO.0.C	C_PAX6_HUMAN.H11MO.0.C	28047	0.14195	3556	0.13979	3452	0.02335	3.26947E-61	False
PBX1_HUMAN.H11MO.0.A_PBX1_HUMAN.H11MO.0.A	PBX1_HUMAN.H11MO.0.A	PBX1_HUMAN.H11MO.0.A	C_PBX3_HUMAN.H11MO.0.A	36580	0.18325	6109	0.18551	6124	-0.04233	1.80285E-89	False
PBX2_HUMAN.H11MO.0.C_PBX2_HUMAN.H11MO.0.C	PBX2_HUMAN.H11MO.0.C	PBX2_HUMAN.H11MO.0.C	C_PBX2_HUMAN.H11MO.0.C	30763	0.11335	2710	0.1114	2566	0.03652	8.13181E-80	False
PBX3_HUMAN.H11MO.0.A_PBX3_HUMAN.H11MO.0.A	PBX3_HUMAN.H11MO.0.A	PBX3_HUMAN.H11MO.0.A	C_PBX3_HUMAN.H11MO.0.A	41607	0.22756	8948	0.23166	9120	-0.04779	4.23138E-103	False
PDX1_HUMAN.H11MO.0.A_PDX1_HUMAN.H11MO.0.A	PDX1_HUMAN.H11MO.0.A	PDX1_HUMAN.H11MO.0.A	C_PDX1_HUMAN.H11MO.0.A	23354	0.1178	2208	0.11615	2099	0.0236	4.89691E-60	False
PEBB_HUMAN.H11MO.0.C_PEBB_HUMAN.H11MO.0.C	PEBB_HUMAN.H11MO.0.C	PEBB_HUMAN.H11MO.0.C	C_PEBB_HUMAN.H11MO.0.C	38595	0.14445	5239	0.14616	5251	-0.01893	3.53506E-63	False
PIT1_HUMAN.H11MO.0.C_PIT1_HUMAN.H11MO.0.C	PIT1_HUMAN.H11MO.0.C	PIT1_HUMAN.H11MO.0.C	C_PIT1_HUMAN.H11MO.0.C	44617	0.10061	3346	0.09694	3055	0.05846	2.54362E-112	False
PKNX1_HUMAN.H11MO.0.B_PKNX1_HUMAN.H11MO.0.B	PKNX1_HUMAN.H11MO.0.B	PKNX1_HUMAN.H11MO.0.B	C_PBX3_HUMAN.H11MO.0.A	36553	0.2024	6654	0.20485	6728	-0.0428	1.28615E-96	False
PO2F1_HUMAN.H11MO.0.C_PO2F1_HUMAN.H11MO.0.C	PO2F1_HUMAN.H11MO.0.C	PO2F1_HUMAN.H11MO.0.C	C_PO2F1_HUMAN.H11MO.0.C	47863	0.11518	4563	0.11192	4305	0.04842	1.69091E-100	False
PO2F2_HUMAN.H11MO.0.A_PO2F2_HUMAN.H11MO.0.A	PO2F2_HUMAN.H11MO.0.A	PO2F2_HUMAN.H11MO.0.A	C_PO2F2_HUMAN.H11MO.0.A	44152	0.12754	4886	0.12508	4651	0.01956	2.96843E-64	False
PO3F1_HUMAN.H11MO.0.C_PO3F1_HUMAN.H11MO.0.C	PO3F1_HUMAN.H11MO.0.C	PO3F1_HUMAN.H11MO.0.C	C_PO3F1_HUMAN.H11MO.0.C	37385	0.12318	3994	0.11865	3732	0.06154	1.43588E-109	True
PO3F2_HUMAN.H11MO.0.A_PO3F2_HUMAN.H11MO.0.A	PO3F2_HUMAN.H11MO.0.A	PO3F2_HUMAN.H11MO.0.A	C_PO3F2_HUMAN.H11MO.0.A	47772	0.11917	4791	0.11687	4616	0.02253	2.49763E-75	False
PO5F1_HUMAN.H11MO.0.A_PO5F1_HUMAN.H11MO.0.A	PO5F1_HUMAN.H11MO.0.A	PO5F1_HUMAN.H11MO.0.A	C_NANOG_HUMAN.H11MO.0.A	55597	0.12424	5889	0.12019	5572	0.04885	4.90144E-109	False
PPARA_HUMAN.H11MO.0.B_PPARA_HUMAN.H11MO.0.B	PPARA_HUMAN.H11MO.0.B	PPARA_HUMAN.H11MO.0.B	C_PPARG_HUMAN.H11MO.0.A	55156	0.14527	7263	0.14643	7296	-0.00694	3.40091E-22	False
PPARG_HUMAN.H11MO.0.A_PPARG_HUMAN.H11MO.0.A	PPARG_HUMAN.H11MO.0.A	PPARG_HUMAN.H11MO.0.A	C_PPARG_HUMAN.H11MO.0.A	72593	0.16129	11079	0.16437	11244	-0.0287	2.47771E-84	False
PRD14_HUMAN.H11MO.0.A_PRD14_HUMAN.H11MO.0.A	PRD14_HUMAN.H11MO.0.A	PRD14_HUMAN.H11MO.0.A	C_PRD14_HUMAN.H11MO.0.A	20183	0.13084	2289	0.12996	2263	0.03029	9.77725E-62	False
PRDM1_HUMAN.H11MO.0.A_PRDM1_HUMAN.H11MO.0.A	PRDM1_HUMAN.H11MO.0.A	PRDM1_HUMAN.H11MO.0.A	C_PRDM1_HUMAN.H11MO.0.A	98979	0.13146	11754	0.13081	11453	0.02136	1.11042E-89	False
PRDM6_HUMAN.H11MO.0.C_PRDM6_HUMAN.H11MO.0.C	PRDM6_HUMAN.H11MO.0.C	PRDM6_HUMAN.H11MO.0.C	C_PRDM6_HUMAN.H11MO.0.C	159744	0.10901	14325	0.10655	13597	0.05367	3.95391E-135	False
PRGR_HUMAN.H11MO.0.A_PRGR_HUMAN.H11MO.0.A	PRGR_HUMAN.H11MO.0.A	PRGR_HUMAN.H11MO.0.A	C_PRGR_HUMAN.H11MO.0.A	40608	0.1238	4313	0.12294	4224	0.01269	1.72335E-49	False
PRRX2_HUMAN.H11MO.0.C_PRRX2_HUMAN.H11MO.0.C	PRRX2_HUMAN.H11MO.0.C	PRRX2_HUMAN.H11MO.0.C	C_PRRX2_HUMAN.H11MO.0.C	27114	0.1258	2966	0.11804	2707	0.13546	5.53095E-137	True
PTF1A_HUMAN.H11MO.0.B_PTF1A_HUMAN.H11MO.0.B	PTF1A_HUMAN.H11MO.0.B	PTF1A_HUMAN.H11MO.0.B	C_PTF1A_HUMAN.H11MO.0.B	99717	0.17975	18613	0.18898	19532	-0.14302	5.44681E-170	True
RARA_HUMAN.H11MO.0.A_RARA_HUMAN.H11MO.0.A	RARA_HUMAN.H11MO.0.A	RARA_HUMAN.H11MO.0.A	C_RARA_HUMAN.H11MO.0.A	68488	0.15797	10173	0.16122	10320	-0.02927	9.95119E-87	False
RARG_HUMAN.H11MO.0.B_RARG_HUMAN.H11MO.0.B	RARG_HUMAN.H11MO.0.B	RARG_HUMAN.H11MO.0.B	C_RARG_HUMAN.H11MO.0.B	45960	0.15459	6861	0.15673	6917	-0.03033	2.23207E-80	False
RELB_HUMAN.H11MO.0.C_RELB_HUMAN.H11MO.0.C	RELB_HUMAN.H11MO.0.C	RELB_HUMAN.H11MO.0.C	C_RELB_HUMAN.H11MO.0.C	38737	0.17009	6483	0.17319	6575	-0.0449	3.41367E-90	False
REL_HUMAN.H11MO.0.B_REL_HUMAN.H11MO.0.B	REL_HUMAN.H11MO.0.B	REL_HUMAN.H11MO.0.B	C_REL_HUMAN.H11MO.0.B	53602	0.14528	7246	0.14655	7255	-0.02127	5.21140E-72	False
REST_HUMAN.H11MO.0.A_REST_HUMAN.H11MO.0.A	REST_HUMAN.H11MO.0.A	REST_HUMAN.H11MO.0.A	C_REST_HUMAN.H11MO.0.A	55003	0.18675	10732	0.19023	10862	-0.03335	6.45652E-93	False
RFX1_HUMAN.H11MO.0.B_RFX1_HUMAN.H11MO.0.B	RFX1_HUMAN.H11MO.0.B	RFX1_HUMAN.H11MO.0.B	C_RFX1_HUMAN.H11MO.0.B	78722	0.27754	24834	0.28572	25438	-0.07599	2.17625E-134	False
RFX2_HUMAN.H11MO.0.A_RFX2_HUMAN.H11MO.0.A	RFX2_HUMAN.H11MO.0.A	RFX2_HUMAN.H11MO.0.A	C_RFX1_HUMAN.H11MO.0.B	34251	0.22449	7839	0.23118	7997	-0.05629	2.34658E-107	False
RFX3_HUMAN.H11MO.0.B_RFX3_HUMAN.H11MO.0.B	RFX3_HUMAN.H11MO.0.B	RFX3_HUMAN.H11MO.0.B	C_RFX3_HUMAN.H11MO.0.B	27993	0.19537	5389	0.20028	5466	-0.04532	8.18093E-86	False
RFX5_HUMAN.H11MO.0.A_RFX5_HUMAN.H11MO.0.A	RFX5_HUMAN.H11MO.0.A	RFX5_HUMAN.H11MO.0.A	C_RFX5_HUMAN.H11MO.0.A	53011	0.22087	12403	0.22719	12634	-0.06822	2.77008E-118	False
RORA_HUMAN.H11MO.0.C_RORA_HUMAN.H11MO.0.C	RORA_HUMAN.H11MO.0.C	RORA_HUMAN.H11MO.0.C	C_RORA_HUMAN.H11MO.0.C	54171	0.1396	6867	0.14081	6874	-0.00667	2.04917E-23	False
RORG_HUMAN.H11MO.0.C_RORG_HUMAN.H11MO.0.C	RORG_HUMAN.H11MO.0.C	RORG_HUMAN.H11MO.0.C	C_RORG_HUMAN.H11MO.0.C	31992	0.12466	3475	0.1242	3387	0.00199	4.76484E-03	False
RUNX1_HUMAN.H11MO.0.A_RUNX1_HUMAN.H11MO.0.A	RUNX1_HUMAN.H11MO.0.A	RUNX1_HUMAN.H11MO.0.A	C_RUNX2_HUMAN.H11MO.0.A	40819	0.13339	5025	0.13352	4932	0.00086	3.71114E-02	False
RUNX2_HUMAN.H11MO.0.A_RUNX2_HUMAN.H11MO.0.A	RUNX2_HUMAN.H11MO.0.A	RUNX2_HUMAN.H11MO.0.A	C_RUNX2_HUMAN.H11MO.0.A	57664	0.13433	6965	0.1361	7030	-0.02777	9.89388E-81	False
RUNX3_HUMAN.H11MO.0.A_RUNX3_HUMAN.H11MO.0.A	RUNX3_HUMAN.H11MO.0.A	RUNX3_HUMAN.H11MO.0.A	C_RUNX2_HUMAN.H11MO.0.A	33371	0.13454	4166	0.13471	4113	-0.0007	3.48969E-02	False
RXRA_HUMAN.H11MO.0.A_RXRA_HUMAN.H11MO.0.A	RXRA_HUMAN.H11MO.0.A	RXRA_HUMAN.H11MO.0.A	C_RXRA_HUMAN.H11MO.0.A	129573	0.18873	24262	0.19419	24978	-0.05829	2.19026E-132	False
RXRB_HUMAN.H11MO.0.C_RXRB_HUMAN.H11MO.0.C	RXRB_HUMAN.H11MO.0.C	RXRB_HUMAN.H11MO.0.C	C_RXRB_HUMAN.H11MO.0.C	33305	0.13168	3758	0.13221	3802	-0.00156	5.78932E-07	False
RXRG_HUMAN.H11MO.0.B_RXRG_HUMAN.H11MO.0.B	RXRG_HUMAN.H11MO.0.B	RXRG_HUMAN.H11MO.0.B	C_RXRG_HUMAN.H11MO.0.B	26679	0.12067	2669	0.11943	2580	0.02924	2.26915E-72	False
SALL4_HUMAN.H11MO.0.B_SALL4_HUMAN.H11MO.0.B	SALL4_HUMAN.H11MO.0.B	SALL4_HUMAN.H11MO.0.B	C_SALL4_HUMAN.H11MO.0.B	147862	0.21323	32531	0.22227	33778	-0.11051	1.48796E-161	False
SIX1_HUMAN.H11MO.0.A_SIX1_HUMAN.H11MO.0.A	SIX1_HUMAN.H11MO.0.A	SIX1_HUMAN.H11MO.0.A	C_SIX2_HUMAN.H11MO.0.A	28658	0.11796	2821	0.11814	2827	-0.0003	6.83110E-01	False
SIX2_HUMAN.H11MO.0.A_SIX2_HUMAN.H11MO.0.A	SIX2_HUMAN.H11MO.0.A	SIX2_HUMAN.H11MO.0.A	C_SIX2_HUMAN.H11MO.0.A	34439	0.11957	3441	0.11932	3425	-0.00152	2.04000E-02	False
SMAD2_HUMAN.H11MO.0.A_SMAD2_HUMAN.H11MO.0.A	SMAD2_HUMAN.H11MO.0.A	SMAD2_HUMAN.H11MO.0.A	C_SMAD2_HUMAN.H11MO.0.A	68632	0.14419	9254	0.14762	9414	-0.05795	3.82545E-119	False
SMAD3_HUMAN.H11MO.0.B_SMAD3_HUMAN.H11MO.0.B	SMAD3_HUMAN.H11MO.0.B	SMAD3_HUMAN.H11MO.0.B	C_SMAD3_HUMAN.H11MO.0.B	123369	0.16016	19243	0.16393	19586	-0.05068	2.49414E-127	False
SMAD4_HUMAN.H11MO.0.B_SMAD4_HUMAN.H11MO.0.B	SMAD4_HUMAN.H11MO.0.B	SMAD4_HUMAN.H11MO.0.B	C_SMAD2_HUMAN.H11MO.0.A	54079	0.15286	7962	0.15699	8129	-0.06912	3.39999E-116	False
SMCA1_HUMAN.H11MO.0.C_SMCA1_HUMAN.H11MO.0.C	SMCA1_HUMAN.H11MO.0.C	SMCA1_HUMAN.H11MO.0.C	C_SMCA1_HUMAN.H11MO.0.C	69253	0.11464	6698	0.1128	6394	0.03125	5.07152E-92	False
SMCA5_HUMAN.H11MO.0.C_SMCA5_HUMAN.H11MO.0.C	SMCA5_HUMAN.H11MO.0.C	SMCA5_HUMAN.H11MO.0.C	C_SMCA5_HUMAN.H11MO.0.C	45610	0.1354	5624	0.13584	5605	0.00311	1.65568E-07	False
SNAI1_HUMAN.H11MO.0.C_SNAI1_HUMAN.H11MO.0.C	SNAI1_HUMAN.H11MO.0.C	SNAI1_HUMAN.H11MO.0.C	C_SNAI1_HUMAN.H11MO.0.C	43934	0.12692	5112	0.13163	5263	-0.08261	1.73724E-123	False
SNAI2_HUMAN.H11MO.0.A_SNAI2_HUMAN.H11MO.0.A	SNAI2_HUMAN.H11MO.0.A	SNAI2_HUMAN.H11MO.0.A	C_SNAI2_HUMAN.H11MO.0.A	38571	0.12027	4046	0.12604	4254	-0.10377	2.37722E-130	False
SOX10_HUMAN.H11MO.0.B_SOX10_HUMAN.H11MO.0.B	SOX10_HUMAN.H11MO.0.B	SOX10_HUMAN.H11MO.0.B	C_SOX10_HUMAN.H11MO.0.B	52440	0.13557	6361	0.13397	6236	0.01299	1.54911E-52	False
SOX17_HUMAN.H11MO.0.C_SOX17_HUMAN.H11MO.0.C	SOX17_HUMAN.H11MO.0.C	SOX17_HUMAN.H11MO.0.C	C_SOX17_HUMAN.H11MO.0.C	37816	0.13621	4608	0.13685	4552	-0.00475	6.96546E-14	False
SOX2_HUMAN.H11MO.0.A_SOX2_HUMAN.H11MO.0.A	SOX2_HUMAN.H11MO.0.A	SOX2_HUMAN.H11MO.0.A	C_SOX2_HUMAN.H11MO.0.A	90300	0.13371	11056	0.1337	10841	0.00468	2.56122E-24	False
SOX3_HUMAN.H11MO.0.B_SOX3_HUMAN.H11MO.0.B	SOX3_HUMAN.H11MO.0.B	SOX3_HUMAN.H11MO.0.B	C_SOX2_HUMAN.H11MO.0.A	62504	0.1436	8446	0.14409	8364	-0.00505	1.09434E-23	False
SOX4_HUMAN.H11MO.0.B_SOX4_HUMAN.H11MO.0.B	SOX4_HUMAN.H11MO.0.B	SOX4_HUMAN.H11MO.0.B	C_SOX2_HUMAN.H11MO.0.A	88201	0.13762	11289	0.1378	11087	0.00268	8.49609E-17	False
SOX5_HUMAN.H11MO.0.C_SOX5_HUMAN.H11MO.0.C	SOX5_HUMAN.H11MO.0.C	SOX5_HUMAN.H11MO.0.C	C_SRY_HUMAN.H11MO.0.B	28074	0.09896	2085	0.09631	1959	0.06457	2.68903E-101	True
SOX9_HUMAN.H11MO.0.B_SOX9_HUMAN.H11MO.0.B	SOX9_HUMAN.H11MO.0.B	SOX9_HUMAN.H11MO.0.B	C_SOX9_HUMAN.H11MO.0.B	55133	0.1419	7249	0.14078	7154	-0.00342	8.32107E-10	False
SP1_HUMAN.H11MO.0.A_SP1_HUMAN.H11MO.0.A	SP1_HUMAN.H11MO.0.A	SP1_HUMAN.H11MO.0.A	C_SP2_HUMAN.H11MO.0.A	241520	0.30976	81726	0.31972	84057	-0.09713	8.36436E-165	True
SP2_HUMAN.H11MO.0.A_SP2_HUMAN.H11MO.0.A	SP2_HUMAN.H11MO.0.A	SP2_HUMAN.H11MO.0.A	C_SP2_HUMAN.H11MO.0.A	277746	0.30545	93455	0.31487	96136	-0.08882	1.69063E-165	True
SP3_HUMAN.H11MO.0.B_SP3_HUMAN.H11MO.0.B	SP3_HUMAN.H11MO.0.B	SP3_HUMAN.H11MO.0.B	C_SP2_HUMAN.H11MO.0.A	249536	0.30221	81290	0.31204	83773	-0.10046	9.68084E-176	True
SP4_HUMAN.H11MO.0.A_SP4_HUMAN.H11MO.0.A	SP4_HUMAN.H11MO.0.A	SP4_HUMAN.H11MO.0.A	C_SP2_HUMAN.H11MO.0.A	226419	0.28617	68228	0.29525	70247	-0.08944	3.05336E-161	False
SPI1_HUMAN.H11MO.0.A_SPI1_HUMAN.H11MO.0.A	SPI1_HUMAN.H11MO.0.A	SPI1_HUMAN.H11MO.0.A	C_BC11A_HUMAN.H11MO.0.A	94620	0.15126	13041	0.15254	13018	-0.00487	3.46762E-22	False
SPIB_HUMAN.H11MO.0.A_SPIB_HUMAN.H11MO.0.A	SPIB_HUMAN.H11MO.0.A	SPIB_HUMAN.H11MO.0.A	C_BC11A_HUMAN.H11MO.0.A	88339	0.14876	11986	0.14951	11935	0.00234	1.25749E-15	False
SRBP1_HUMAN.H11MO.0.A_SRBP1_HUMAN.H11MO.0.A	SRBP1_HUMAN.H11MO.0.A	SRBP1_HUMAN.H11MO.0.A	C_SRBP1_HUMAN.H11MO.0.A	36294	0.16651	5601	0.17092	5694	-0.05094	1.29170E-102	False
SRBP2_HUMAN.H11MO.0.B_SRBP2_HUMAN.H11MO.0.B	SRBP2_HUMAN.H11MO.0.B	SRBP2_HUMAN.H11MO.0.B	C_SRBP2_HUMAN.H11MO.0.B	87014	0.20983	18509	0.21772	19248	-0.09282	1.72081E-146	False
SRF_HUMAN.H11MO.0.A_SRF_HUMAN.H11MO.0.A	SRF_HUMAN.H11MO.0.A	SRF_HUMAN.H11MO.0.A	C_SRF_HUMAN.H11MO.0.A	27753	0.11859	2799	0.11968	2790	0.00039	8.63848E-01	False
SRY_HUMAN.H11MO.0.B_SRY_HUMAN.H11MO.0.B	SRY_HUMAN.H11MO.0.B	SRY_HUMAN.H11MO.0.B	C_SRY_HUMAN.H11MO.0.B	74610	0.10327	5988	0.1004	5633	0.05911	6.98589E-120	False
STA5A_HUMAN.H11MO.0.A_STA5A_HUMAN.H11MO.0.A	STA5A_HUMAN.H11MO.0.A	STA5A_HUMAN.H11MO.0.A	C_STA5A_HUMAN.H11MO.0.A	52306	0.12929	5884	0.12776	5685	0.03935	3.57442E-88	False
STA5B_HUMAN.H11MO.0.A_STA5B_HUMAN.H11MO.0.A	STA5B_HUMAN.H11MO.0.A	STA5B_HUMAN.H11MO.0.A	C_STA5A_HUMAN.H11MO.0.A	52165	0.12092	5316	0.11882	5060	0.04275	6.99272E-105	False
STAT1_HUMAN.H11MO.0.A_STAT1_HUMAN.H11MO.0.A	STAT1_HUMAN.H11MO.0.A	STAT1_HUMAN.H11MO.0.A	C_STAT1_HUMAN.H11MO.0.A	46644	0.15373	6584	0.15408	6497	0.01172	1.76576E-44	False
STAT2_HUMAN.H11MO.0.A_STAT2_HUMAN.H11MO.0.A	STAT2_HUMAN.H11MO.0.A	STAT2_HUMAN.H11MO.0.A	C_STAT2_HUMAN.H11MO.0.A	129181	0.10942	11599	0.10687	10969	0.0562	1.99374E-131	False
STAT3_HUMAN.H11MO.0.A_STAT3_HUMAN.H11MO.0.A	STAT3_HUMAN.H11MO.0.A	STAT3_HUMAN.H11MO.0.A	C_STAT3_HUMAN.H11MO.0.A	47148	0.15182	6646	0.15196	6512	0.01323	5.30316E-40	False
