"output_prefix" "name" "motif_id" "cluster" "total_tfbs" "MG_mean_score" "MG_bound" "OPC_mean_score" "OPC_bound" "MG_OPC_change" "MG_OPC_pvalue" "MG_OPC_highlighted" "Transcription.factor" "oRG" "vRG" "MG" "Oligo" "cat" "label"
"317" "STAT1_HUMAN.H11MO.0.A_STAT1_HUMAN.H11MO.0.A" "STAT1_HUMAN.H11MO.0.A" "STAT1_HUMAN.H11MO.0.A" "C_STAT1_HUMAN.H11MO.0.A" 59097 0.12086 5405 0.12282 4997 0.04837 2.27512e-112 "False" "STAT1" 12.6376951009197 12.7461297291115 19.7358495135165 14.2404939806494 "NOT_SIG" NA
"318" "STAT2_HUMAN.H11MO.0.A_STAT2_HUMAN.H11MO.0.A" "STAT2_HUMAN.H11MO.0.A" "STAT2_HUMAN.H11MO.0.A" "C_IRF3_HUMAN.H11MO.0.B" 182220 0.10428 14314 0.07265 7685 0.23868 1.63606e-200 "False" "STAT2" 46.1679116133559 46.1273769080786 99.1573166829867 64.7238223387976 "NOT_SIG" NA
"319" "STAT3_HUMAN.H11MO.0.A_STAT3_HUMAN.H11MO.0.A" "STAT3_HUMAN.H11MO.0.A" "STAT3_HUMAN.H11MO.0.A" "C_STAT1_HUMAN.H11MO.0.A" 58849 0.116 5073 0.12235 4988 0.02196 1.65067e-73 "False" "STAT3" 51.4992863821628 53.8311170803094 198.890882514549 58.5236387580574 "NOT_SIG" NA
"321" "STAT6_HUMAN.H11MO.0.B_STAT6_HUMAN.H11MO.0.B" "STAT6_HUMAN.H11MO.0.B" "STAT6_HUMAN.H11MO.0.B" "C_STAT6_HUMAN.H11MO.0.B" 68021 0.0995 4903 0.09899 4411 0.06778 4.6361e-125 "False" "STAT6" 8.0243472820892 5.05802656011923 161.092035890678 1.22239322761093 "NOT_SIG" NA
"323" "SUH_HUMAN.H11MO.0.A_SUH_HUMAN.H11MO.0.A" "SUH_HUMAN.H11MO.0.A" "SUH_HUMAN.H11MO.0.A" "C_SUH_HUMAN.H11MO.0.A" 87722 0.13755 9498 0.16369 11529 -0.05168 5.83119e-120 "False" "RBPJ" 60.1732259898327 70.6583340385894 60.7144053493877 118.04120985121 "NOT_SIG" NA
"324" "TAF1_HUMAN.H11MO.0.A_TAF1_HUMAN.H11MO.0.A" "TAF1_HUMAN.H11MO.0.A" "TAF1_HUMAN.H11MO.0.A" "C_TAF1_HUMAN.H11MO.0.A" 158109 0.21394 29154 0.24843 35491 -0.02297 2.03346e-99 "False" "TAF1" 56.7858621339391 69.1660313816233 107.132385142955 79.7555513239774 "NOT_SIG" NA
"325" "TAL1_HUMAN.H11MO.0.A_TAL1_HUMAN.H11MO.0.A" "TAL1_HUMAN.H11MO.0.A" "TAL1_HUMAN.H11MO.0.A" "C_GATA2_HUMAN.H11MO.0.A" 28739 0.09931 1941 0.09955 1829 0.07232 4.11626e-111 "False" "TAL1" 0.163368952752481 0.337758957411804 176.224341901037 0.346873996837148 "NOT_SIG" NA
"326" "TBP_HUMAN.H11MO.0.A_TBP_HUMAN.H11MO.0.A" "TBP_HUMAN.H11MO.0.A" "TBP_HUMAN.H11MO.0.A" "C_TBP_HUMAN.H11MO.0.A" 36691 0.07723 1671 0.08066 1552 0.03886 2.62248e-89 "False" "TBP" 9.04194962742992 7.23106775748785 11.2425225342349 8.6158269055394 "NOT_SIG" NA
"330" "TEAD1_HUMAN.H11MO.0.A_TEAD1_HUMAN.H11MO.0.A" "TEAD1_HUMAN.H11MO.0.A" "TEAD1_HUMAN.H11MO.0.A" "C_TEAD1_HUMAN.H11MO.0.A" 50599 0.07886 2531 0.10288 3417 -0.07898 2.03857e-126 "False" "TEAD1" 30.5452639650323 31.4503387807519 4.57652198879296 24.5361223400377 "NOT_SIG" NA
"332" "TF65_HUMAN.H11MO.0.A_TF65_HUMAN.H11MO.0.A" "TF65_HUMAN.H11MO.0.A" "TF65_HUMAN.H11MO.0.A" "C_TF65_HUMAN.H11MO.0.A" 47932 0.12006 4450 0.1149 3969 0.08675 1.10674e-131 "False" "RELA" 29.9266378636155 35.9971765984847 48.6835499473611 28.7628257218652 "NOT_SIG" NA
"333" "TF7L1_HUMAN.H11MO.0.B_TF7L1_HUMAN.H11MO.0.B" "TF7L1_HUMAN.H11MO.0.B" "TF7L1_HUMAN.H11MO.0.B" "C_TCF7_HUMAN.H11MO.0.A" 57552 0.07569 2824 0.0875 2983 -0.01551 5.56903e-54 "False" "TCF7L1" 16.761457864967 16.7049205562192 1.73393115167309 24.5689282246285 "NOT_SIG" NA
"334" "TF7L2_HUMAN.H11MO.0.A_TF7L2_HUMAN.H11MO.0.A" "TF7L2_HUMAN.H11MO.0.A" "TF7L2_HUMAN.H11MO.0.A" "C_TCF7_HUMAN.H11MO.0.A" 52209 0.08414 2993 0.09855 3332 -0.02224 1.18575e-74 "False" "TCF7L2" 31.4209059647144 39.8389094991694 28.9787745730389 67.0929851663022 "NOT_SIG" NA
"336" "TFDP1_HUMAN.H11MO.0.C_TFDP1_HUMAN.H11MO.0.C" "TFDP1_HUMAN.H11MO.0.C" "TFDP1_HUMAN.H11MO.0.C" "C_E2F7_HUMAN.H11MO.0.B" 123098 0.27472 28108 0.3309 34902 -0.13121 6.29495e-163 "False" "TFDP1" 17.2659644207849 15.537646045627 9.36731949425831 12.9602229442361 "NOT_SIG" NA
"337" "TFE2_HUMAN.H11MO.0.A_TFE2_HUMAN.H11MO.0.A" "TFE2_HUMAN.H11MO.0.A" "TFE2_HUMAN.H11MO.0.A" "C_ASCL1_HUMAN.H11MO.0.A" 93013 0.10719 7793 0.15967 12134 -0.20871 1.54129e-179 "True" "TCF3" 35.5656119010637 57.2058655195965 17.7734300066466 39.9329914303789 "Oligo" NA
"338" "TFE3_HUMAN.H11MO.0.B_TFE3_HUMAN.H11MO.0.B" "TFE3_HUMAN.H11MO.0.B" "TFE3_HUMAN.H11MO.0.B" "C_USF2_HUMAN.H11MO.0.A" 23967 0.2074 3907 0.17684 2981 0.23704 1.9089e-158 "False" "TFE3" 12.5589440356554 16.2006186420609 39.188998963683 12.9304091711981 "NOT_SIG" NA
"339" "TFEB_HUMAN.H11MO.0.C_TFEB_HUMAN.H11MO.0.C" "TFEB_HUMAN.H11MO.0.C" "TFEB_HUMAN.H11MO.0.C" "C_TFEB_HUMAN.H11MO.0.C" 10248 0.27122 2090 0.2725 1978 0.10619 6.05232e-102 "False" "TFEB" 1.75725147614525 2.30882697418928 23.0992091916893 6.42412943829101 "NOT_SIG" NA
"340" "TGIF1_HUMAN.H11MO.0.A_TGIF1_HUMAN.H11MO.0.A" "TGIF1_HUMAN.H11MO.0.A" "TGIF1_HUMAN.H11MO.0.A" "C_TGIF1_HUMAN.H11MO.0.A" 30210 0.11707 2673 0.13434 2948 -0.03161 4.12927e-77 "False" "TGIF1" 19.0954882157429 20.4555251633139 26.1649364676675 13.5748442942292 "NOT_SIG" NA
"346" "TYY1_HUMAN.H11MO.0.A_TYY1_HUMAN.H11MO.0.A" "TYY1_HUMAN.H11MO.0.A" "TYY1_HUMAN.H11MO.0.A" "C_TYY1_HUMAN.H11MO.0.A" 34871 0.18761 5295 0.20643 5898 -0.00379 3.11384e-11 "False" "YY1" 28.4493767278399 24.1488326791356 25.6550488097753 22.5394401009748 "NOT_SIG" NA
"347" "USF1_HUMAN.H11MO.0.A_USF1_HUMAN.H11MO.0.A" "USF1_HUMAN.H11MO.0.A" "USF1_HUMAN.H11MO.0.A" "C_USF2_HUMAN.H11MO.0.A" 27661 0.21605 4760 0.18835 3793 0.21976 8.04256e-159 "False" "USF1" 24.5178758996777 34.4063742208568 70.750209195065 47.4545974275959 "NOT_SIG" NA
"348" "USF2_HUMAN.H11MO.0.A_USF2_HUMAN.H11MO.0.A" "USF2_HUMAN.H11MO.0.A" "USF2_HUMAN.H11MO.0.A" "C_USF2_HUMAN.H11MO.0.A" 32491 0.23777 6304 0.22553 5683 0.14447 1.3529e-138 "False" "USF2" 32.2695555575919 37.9728894011382 98.5785892696746 38.5498381633116 "NOT_SIG" NA
"350" "VEZF1_HUMAN.H11MO.0.C_VEZF1_HUMAN.H11MO.0.C" "VEZF1_HUMAN.H11MO.0.C" "VEZF1_HUMAN.H11MO.0.C" "C_MAZ_HUMAN.H11MO.0.A" 332038 0.17656 48306 0.20416 57481 -0.01983 7.27484e-110 "False" "VEZF1" 26.4477696592621 25.359019679233 12.4158706224552 22.3773454590767 "NOT_SIG" NA
"355" "ZBT17_HUMAN.H11MO.0.A_ZBT17_HUMAN.H11MO.0.A" "ZBT17_HUMAN.H11MO.0.A" "ZBT17_HUMAN.H11MO.0.A" "C_MAZ_HUMAN.H11MO.0.A" 309575 0.17931 45176 0.20799 53786 -0.02236 2.95975e-109 "False" "ZBTB17" 17.5814157857527 19.9468810624476 29.4500199804209 36.7809008185717 "NOT_SIG" NA
"356" "ZBT18_HUMAN.H11MO.0.C_ZBT18_HUMAN.H11MO.0.C" "ZBT18_HUMAN.H11MO.0.C" "ZBT18_HUMAN.H11MO.0.C" "C_ZBT18_HUMAN.H11MO.0.C" 73826 0.10797 6265 0.14542 8566 -0.13185 4.58816e-155 "False" "ZBTB18" 38.7195177154678 45.4302245880936 19.2067112588184 21.5941349672474 "NOT_SIG" NA
"357" "ZBT48_HUMAN.H11MO.0.C_ZBT48_HUMAN.H11MO.0.C" "ZBT48_HUMAN.H11MO.0.C" "ZBT48_HUMAN.H11MO.0.C" "C_ZBT48_HUMAN.H11MO.0.C" 49090 0.1363 5101 0.15924 6082 -0.04709 1.4769e-99 "False" "ZBTB48" 20.1160454062379 22.3968434708124 29.8434742440381 17.0848137171585 "NOT_SIG" NA
"360" "ZEB1_HUMAN.H11MO.0.A_ZEB1_HUMAN.H11MO.0.A" "ZEB1_HUMAN.H11MO.0.A" "ZEB1_HUMAN.H11MO.0.A" "C_ZEB1_HUMAN.H11MO.0.A" 48741 0.10105 3255 0.10645 3545 0.06617 1.83434e-118 "False" "ZEB1" 77.3337565723404 74.9014786487269 22.8075581345971 185.716626599565 "NOT_SIG" NA
"364" "ZFX_HUMAN.H11MO.0.A_ZFX_HUMAN.H11MO.0.A" "ZFX_HUMAN.H11MO.0.A" "ZFX_HUMAN.H11MO.0.A" "C_ZFX_HUMAN.H11MO.0.A" 82463 0.19967 13854 0.22719 16085 -0.03838 8.80656e-102 "False" "ZFX" 17.2151716709957 16.3367897576456 22.9942898683279 11.0593540995146 "NOT_SIG" NA
"368" "ZKSC1_HUMAN.H11MO.0.B_ZKSC1_HUMAN.H11MO.0.B" "ZKSC1_HUMAN.H11MO.0.B" "ZKSC1_HUMAN.H11MO.0.B" "C_ZKSC1_HUMAN.H11MO.0.B" 43835 0.10349 3277 0.11631 3649 -0.00249 0.000101428 "False" "ZKSCAN1" 24.5779046793643 29.399055403021 21.6527658974648 35.859197307299 "NOT_SIG" NA
"369" "ZN121_HUMAN.H11MO.0.C_ZN121_HUMAN.H11MO.0.C" "ZN121_HUMAN.H11MO.0.C" "ZN121_HUMAN.H11MO.0.C" "C_ZN121_HUMAN.H11MO.0.C" 82094 0.12668 7644 0.12947 8161 0.1134 3.78463e-151 "False" "ZNF121" 21.5280761319073 21.2819373094051 12.7818597302642 19.910071378846 "NOT_SIG" NA
"370" "ZN134_HUMAN.H11MO.0.C_ZN134_HUMAN.H11MO.0.C" "ZN134_HUMAN.H11MO.0.C" "ZN134_HUMAN.H11MO.0.C" "C_ZN134_HUMAN.H11MO.0.C" 46025 0.13532 4785 0.15147 5285 -0.00022 0.0735368 "False" "ZNF134" 20.1674353155578 16.2207027341813 9.98978199110017 15.0756107127421 "NOT_SIG" NA
"371" "ZN136_HUMAN.H11MO.0.C_ZN136_HUMAN.H11MO.0.C" "ZN136_HUMAN.H11MO.0.C" "ZN136_HUMAN.H11MO.0.C" "C_ZN136_HUMAN.H11MO.0.C" 40936 0.07717 1921 0.08749 2095 0.00451 1.83278e-13 "False" "ZNF136" 10.6625148093328 14.9571778292354 16.6936576987693 15.4769600354291 "NOT_SIG" NA
"373" "ZN143_HUMAN.H11MO.0.A_ZN143_HUMAN.H11MO.0.A" "ZN143_HUMAN.H11MO.0.A" "ZN143_HUMAN.H11MO.0.A" "C_ZNF76_HUMAN.H11MO.0.C" 63302 0.17547 7822 0.18671 8206 0.04164 2.2095e-99 "False" "ZNF143" 10.1085787646763 14.6086912183507 20.0166126860898 14.6378860303092 "NOT_SIG" NA
"377" "ZN260_HUMAN.H11MO.0.C_ZN260_HUMAN.H11MO.0.C" "ZN260_HUMAN.H11MO.0.C" "ZN260_HUMAN.H11MO.0.C" "C_ZN260_HUMAN.H11MO.0.C" 45515 0.06735 1726 0.0739 1802 0.02887 2.90305e-84 "False" "ZNF260" 17.3711956570635 13.5361703302999 11.4974453390563 14.2894174293925 "NOT_SIG" NA
"379" "ZN264_HUMAN.H11MO.0.C_ZN264_HUMAN.H11MO.0.C" "ZN264_HUMAN.H11MO.0.C" "ZN264_HUMAN.H11MO.0.C" "C_ZN264_HUMAN.H11MO.0.C" 38135 0.09059 2378 0.09913 2445 0.0128 1.69525e-42 "False" "ZNF264" 14.4211517050435 13.0929007335666 14.4445568427559 10.5450416865758 "NOT_SIG" NA
"380" "ZN274_HUMAN.H11MO.0.A_ZN274_HUMAN.H11MO.0.A" "ZN274_HUMAN.H11MO.0.A" "ZN274_HUMAN.H11MO.0.A" "C_ZN274_HUMAN.H11MO.0.A" 61217 0.09096 3883 0.0921 3562 0.05988 1.95044e-114 "False" "ZNF274" 25.2146058437136 26.8251483100742 24.2800129024839 27.2641592105344 "NOT_SIG" NA
"382" "ZN317_HUMAN.H11MO.0.C_ZN317_HUMAN.H11MO.0.C" "ZN317_HUMAN.H11MO.0.C" "ZN317_HUMAN.H11MO.0.C" "C_ZN317_HUMAN.H11MO.0.C" 46526 0.08712 2795 0.09073 2585 0.02775 4.59897e-77 "False" "ZNF317" 10.3158397120567 11.3167510113684 20.3023596324932 17.4584276097481 "NOT_SIG" NA
"383" "ZN320_HUMAN.H11MO.0.C_ZN320_HUMAN.H11MO.0.C" "ZN320_HUMAN.H11MO.0.C" "ZN320_HUMAN.H11MO.0.C" "C_ZN320_HUMAN.H11MO.0.C" 127872 0.166 17560 0.20482 22381 -0.09668 1.00026e-151 "False" "ZNF320" 32.1062345504336 23.4395905762571 18.6750982315588 33.1867732249471 "NOT_SIG" NA
"386" "ZN331_HUMAN.H11MO.0.C_ZN331_HUMAN.H11MO.0.C" "ZN331_HUMAN.H11MO.0.C" "ZN331_HUMAN.H11MO.0.C" "C_ZN331_HUMAN.H11MO.0.C" 86397 0.14919 10661 0.17841 12781 -0.06558 2.74261e-129 "False" "ZNF331" 26.4565303370048 27.6253827246123 73.4569777506783 25.9047019907873 "NOT_SIG" NA
"389" "ZN350_HUMAN.H11MO.0.C_ZN350_HUMAN.H11MO.0.C" "ZN350_HUMAN.H11MO.0.C" "ZN350_HUMAN.H11MO.0.C" "C_ZN350_HUMAN.H11MO.0.C" 85940 0.08401 4916 0.08984 4760 0.02614 4.70505e-93 "False" "ZNF350" 8.49464965927801 8.03675208668804 10.5575476353138 9.76592433284425 "NOT_SIG" NA
"391" "ZN384_HUMAN.H11MO.0.C_ZN384_HUMAN.H11MO.0.C" "ZN384_HUMAN.H11MO.0.C" "ZN384_HUMAN.H11MO.0.C" "C_ZN384_HUMAN.H11MO.0.C" 51498 0.09318 3365 0.09898 3393 0.02547 2.66404e-74 "False" "ZNF384" 39.9449865611493 39.8342660684014 56.2478963858963 45.2961758135273 "NOT_SIG" NA
"392" "ZN394_HUMAN.H11MO.0.C_ZN394_HUMAN.H11MO.0.C" "ZN394_HUMAN.H11MO.0.C" "ZN394_HUMAN.H11MO.0.C" "C_ZN394_HUMAN.H11MO.0.C" 143710 0.0816 7598 0.07677 6206 0.09873 8.45216e-165 "False" "ZNF394" 11.6031496644986 13.0734034235813 37.807910373743 13.5770564026759 "NOT_SIG" NA
"393" "ZN418_HUMAN.H11MO.0.C_ZN418_HUMAN.H11MO.0.C" "ZN418_HUMAN.H11MO.0.C" "ZN418_HUMAN.H11MO.0.C" "C_ZN418_HUMAN.H11MO.0.C" 91430 0.09889 6654 0.09949 6005 0.05595 1.84691e-123 "False" "ZNF418" 34.7655524220661 37.1599822801579 10.4857947181898 44.4123771171754 "NOT_SIG" NA
"398" "ZN490_HUMAN.H11MO.0.C_ZN490_HUMAN.H11MO.0.C" "ZN490_HUMAN.H11MO.0.C" "ZN490_HUMAN.H11MO.0.C" "C_ZN490_HUMAN.H11MO.0.C" 54667 0.08404 3062 0.09205 3181 0.01313 1.39257e-57 "False" "ZNF490" 5.77754768399653 6.24155354181535 10.704434002351 6.19260100426182 "NOT_SIG" NA
"401" "ZN528_HUMAN.H11MO.0.C_ZN528_HUMAN.H11MO.0.C" "ZN528_HUMAN.H11MO.0.C" "ZN528_HUMAN.H11MO.0.C" "C_ZN528_HUMAN.H11MO.0.C" 74528 0.12094 7052 0.1183 6455 0.08064 8.71156e-135 "False" "ZNF528" 98.915489911086 95.6290033146431 59.0582763918606 110.373254267002 "NOT_SIG" NA
"403" "ZN549_HUMAN.H11MO.0.C_ZN549_HUMAN.H11MO.0.C" "ZN549_HUMAN.H11MO.0.C" "ZN549_HUMAN.H11MO.0.C" "C_ZN549_HUMAN.H11MO.0.C" 50101 0.10301 3850 0.12157 4417 -0.04363 1.26914e-97 "False" "ZNF549" 11.5725214667867 9.35355413371053 6.46550474754117 11.1375173715885 "NOT_SIG" NA
"407" "ZN586_HUMAN.H11MO.0.C_ZN586_HUMAN.H11MO.0.C" "ZN586_HUMAN.H11MO.0.C" "ZN586_HUMAN.H11MO.0.C" "C_ZN586_HUMAN.H11MO.0.C" 96209 0.10447 7267 0.1085 7358 0.06402 3.72117e-124 "False" "ZNF586" 41.357044934907 41.3580001184648 40.8821914821971 52.5333486777538 "NOT_SIG" NA
"408" "ZN667_HUMAN.H11MO.0.C_ZN667_HUMAN.H11MO.0.C" "ZN667_HUMAN.H11MO.0.C" "ZN667_HUMAN.H11MO.0.C" "C_ZN667_HUMAN.H11MO.0.C" 68658 0.13088 7177 0.15516 8622 -0.04745 5.42566e-112 "False" "ZNF667" 14.9512172871905 14.7766484419626 4.11417130369257 22.7353276713119 "NOT_SIG" NA
"409" "ZN680_HUMAN.H11MO.0.C_ZN680_HUMAN.H11MO.0.C" "ZN680_HUMAN.H11MO.0.C" "ZN680_HUMAN.H11MO.0.C" "C_ZN680_HUMAN.H11MO.0.C" 66414 0.10101 4801 0.09466 4059 0.10844 2.01671e-151 "False" "ZNF680" 29.7054150213959 24.1808504574956 21.0723128525817 27.7383170294829 "NOT_SIG" NA
"410" "ZN708_HUMAN.H11MO.0.C_ZN708_HUMAN.H11MO.0.C" "ZN708_HUMAN.H11MO.0.C" "ZN708_HUMAN.H11MO.0.C" "C_ZN708_HUMAN.H11MO.0.C" 57484 0.11647 5132 0.13188 5795 -0.00855 1.75869e-35 "False" "ZNF708" 21.017079236647 20.3656355567558 20.9913439630922 31.1137782094488 "NOT_SIG" NA
"414" "ZNF18_HUMAN.H11MO.0.C_ZNF18_HUMAN.H11MO.0.C" "ZNF18_HUMAN.H11MO.0.C" "ZNF18_HUMAN.H11MO.0.C" "C_ZNF18_HUMAN.H11MO.0.C" 49695 0.10634 3883 0.11169 4010 0.05158 2.56553e-107 "False" "ZNF18" 6.77892822311158 6.02289951843231 12.0232015901547 7.98972886422902 "NOT_SIG" NA
"416" "ZNF76_HUMAN.H11MO.0.C_ZNF76_HUMAN.H11MO.0.C" "ZNF76_HUMAN.H11MO.0.C" "ZNF76_HUMAN.H11MO.0.C" "C_ZNF76_HUMAN.H11MO.0.C" 96569 0.18077 13105 0.20605 15367 -0.01844 1.30042e-75 "False" "ZNF76" 20.9658429012178 24.6704028849485 49.9042272764282 28.3543805382595 "NOT_SIG" NA
